Modelo,HitRate@10,Precision@10,MAP@10,nDCG@10,ILD@10,Novelty@10,CatalogCoverage@10
Sequential Markov,0.0930696597185106,0.009306965971850736,0.06176496455224396,0.06925907310906969,0.9848977571906992,16.03519143013499,0.08438136260784598
Two-Stage Hybrid,0.09335471227507572,0.009335471227507254,0.04574536436107784,0.056829020137057734,0.6612855078488773,18.31080985787667,0.14185091176753337
Ablation sin pop,0.09249955460538037,0.009249955460537699,0.04514115474564427,0.05616776488804486,0.6655517944454667,18.552454668580943,0.14591437176354452
Ablation sin name,0.08391234633885623,0.0083912346338853,0.040271817973581744,0.050361306081026125,0.6832298038284522,18.32405105608412,0.13821359852957846
Ablation sin artist,0.08024229467308035,0.008024229467307731,0.039195928386201014,0.04867319613666052,0.7242092760853268,18.43276766106882,0.13849626153071343
Collaborative ItemKNN,0.06424371993586317,0.006424371993586105,0.03333642988640323,0.040494034413386656,0.7902551616288183,18.322045603293166,0.12535458423429174
Ablation sin cooc,0.032175307322287544,0.0032175307322287244,0.014280991688795002,0.01844154033651548,0.5679688025813526,15.809957592374705,0.07052370136438704
Playlist Name Popular,0.0104400498841974,0.0010440049884197452,0.003246064266908737,0.004887320930551407,0.6848775659678782,16.373230324917518,0.06312854853266336
Most Popular,0.0003563156957063959,3.5631569570639586e-05,6.625775198730837e-05,0.00013158064072707075,0.9999873309974862,12.961403702490506,4.4479964645602294e-05
Random,0.0,0.0,0.0,0.0,0.9998582655343763,19.75279920217275,0.331873625246254
