Modelo,HitRate@10,Precision@10,MAP@10,nDCG@10,ILD@10,Novelty@10,CatalogCoverage@10
Sequential Markov,0.12566756981096616,0.012566756981098399,0.0813143036628178,0.09186851638223206,0.9752176508156843,16.56994592173456,0.09096044460892119
Two-Stage Hybrid,0.12543264788335343,0.012543264788337121,0.0684405074512515,0.08173924010953683,0.6151324524632517,18.846807683695097,0.15659862437295502
Ablation sin pop,0.1238978246229503,0.012389782462296774,0.06792932230865902,0.08099505144586248,0.6194362221771184,19.138934328342938,0.16201277158363397
Ablation sin name,0.11761757842477016,0.011761757842478618,0.06310079418527248,0.0757560996732979,0.6372523531347953,18.860590875761392,0.15273160926192506
Ablation sin artist,0.1142503641289878,0.011425036412900304,0.06189218923122884,0.07404130370913369,0.6774072971972839,18.979991463146767,0.154083923357456
Collaborative ItemKNN,0.096584235172511,0.009658423517252223,0.05506393481053243,0.06473788085515302,0.739236312317565,19.040802213948734,0.1446837508742356
Ablation sin cooc,0.038668149285054264,0.003866814928505274,0.016200029682199125,0.02142948912243216,0.5393953631632671,16.091078803035067,0.07404877460290547
Playlist Name Popular,0.012294247545065857,0.0012294247545065827,0.00459478080541179,0.006353778854639255,0.6715213718049099,16.53731009305956,0.06234420673206248
Most Popular,0.001111963790700224,0.00011119637907002225,0.00014103394982316206,0.0003503148878222607,0.9999968677076319,12.86320090721896,2.9344971331593285e-05
Random,1.5661461840848223e-05,1.5661461840848225e-06,2.237351691549746e-06,5.220487280282741e-06,0.9998151947502805,20.74084759765659,0.4056836318640741
