playlist_index,playlist_name,profile,context_preview,target,recs_top10,hit@10
0,"""HARD ROCK 2010""",size=long; target_pop=tail,"""elvis costello"" - ""(the angels wanna wear my) red shoes"" | ""tiffany page"" - ""7 years too late"" | ""elvis costello & the attractions"" - ""accidents will happen"" | ""elvis costello"" - ""alison"" | ""lissie"" - ""all be okay""","""cocktail slippers"" - ""you do run""","""lissie"" - ""look away"" | ""lissie"" - ""loosen the knot"" | ""crowded house"" - ""it's only natural"" | ""crowded house"" - ""everything is good for you"" | ""lissie"" - ""stranger"" | ""lissie"" - ""bully"" | ""joshua radin"" - ""only you - imogen heap mix"" | ""elvis costello & the attractions"" - ""big boys"" | ""joshua radin"" - ""free of me"" | ""crowded house"" - ""fingers of love""",0
1,"""Soirée""",size=long; target_pop=mid,"""enter shikari"" - ""...meltdown"" | ""somethingalamode"" - ""5am - original radio edit"" | ""rammstein"" - ""amerika"" | ""birdy nam nam"" - ""abesses"" | ""birdy nam nam"" - ""abesses - beat torrent remix""","""nightmares on wax"" - ""you wish""","""linkin park"" - ""figure.09"" | ""justice"" - ""valentine"" | ""the prodigy"" - ""piranha"" | ""linkin park"" - ""forgotten"" | ""birdy nam nam"" - ""black bird cloud"" | ""shaka ponk"" - ""brunette localicious"" | ""big gigantic"" - ""nocturnal"" | ""linkin park"" - ""foreword"" | ""skip the use"" - ""antislavery"" | ""justice"" - ""newjack""",0
2,"""Work playlist""",size=long; target_pop=tail,"""blue oyster cult"" - ""(don't fear) the reaper"" | ""the rolling stones"" - ""(i can't get no) satisfaction - (original single mono version)"" | ""somethingalamode"" - ""5am - original radio edit"" | ""joe satriani"" - ""a cool new way"" | ""lukhash"" - ""alpha""","""shin-ski"" - ""antihero (black)""","""ez3kiel"" - ""another"" | ""ez3kiel"" - ""barb4ry"" | ""darren korb"" - ""blank canvas"" | ""justice"" - ""valentine"" | ""linkin park"" - ""figure.09"" | ""linkin park"" - ""forgotten"" | ""tenacious d"" - ""car chase city"" | ""daft punk"" - ""short circuit"" | ""the prodigy"" - ""piranha"" | ""nirvana"" - ""lithium""",0
3,"""Disney..""",size=medium; target_pop=head,"""lea salonga"" - ""a whole new world"" | ""counting crows"" - ""accidentally in love"" | ""jerry orbach"" - ""be our guest (beauty and the beast)"" | ""paige o'hara"" - ""belle - from ''disney's beauty and the beast''"" | ""butterfly boucher"" - ""changes""","""randy newman"" - ""you've got a friend in me""","""cast - frozen"" - ""frozen heart"" | ""kristen bell"" - ""for the first time in forever (reprise)"" | ""dashboard confessional"" - ""as lovers go - remix"" | ""randy newman"" - ""i will go sailing no more - soundtrack"" | ""kristen bell"" - ""do you want to build a snowman?"" | ""christophe beck"" - ""coronation day"" | ""anika noni rose"" - ""down in new orleans (finale) [from ''disney's the princess and the frog'']"" | ""tami damiano"" - ""every girl can be a princess - from ''disney princess''"" | ""jennifer saunders"" - ""fairy godmother song"" | ""lea salonga"" - ""reflection - from ''disney's mulan''""",0
4,"""Gracious""",size=medium; target_pop=mid,"""ed sheeran"" - ""autumn leaves - deluxe edition"" | ""rachael yamagata"" - ""be be your love"" | ""alana grace"" - ""black roses red"" | ""newton faulkner"" - ""clouds"" | ""amanda seyfried"" - ""dear john - little house""","""the pigeon detectives"" - ""you know i love you""","""ed sheeran"" - ""this"" | ""ed sheeran"" - ""little bird - deluxe edition"" | ""ed sheeran"" - ""gold rush - deluxe edition"" | ""ed sheeran"" - ""the city"" | ""newton faulkner"" - ""intro"" | ""the script"" - ""glowing"" | ""newton faulkner"" - ""cheltenham - interlude"" | ""ben howard"" - ""everything"" | ""ed sheeran"" - ""grade 8"" | ""frank turner"" - ""redemption""",0
5,"""summer 2012""",size=long; target_pop=head,"""mat kearney"" - ""all i have"" | ""mat kearney"" - ""annie"" | ""paul mccartney"" - ""another day"" | ""olly murs"" - ""anywhere else"" | ""jack johnson"" - ""banana pancakes""","""rihanna"" - ""you da one""","""the script"" - ""long gone and moved on"" | ""mat kearney"" - ""can't break her fall"" | ""olly murs"" - ""i don't love you too"" | ""taylor swift"" - ""haunted"" | ""noah and the whale"" - ""old joy"" | ""taylor swift"" - ""speak now"" | ""taylor swift"" - ""hey stephen"" | ""taylor swift"" - ""tell me why"" | ""taylor swift"" - ""mary's song (oh my my my)"" | ""olly murs"" - ""i'm ok""",0
6,"""Fluff""",size=medium; target_pop=head,"""all time low"" - ""backseat serenade"" | ""you me at six"" - ""bite my tongue (feat. oli sykes)"" | ""pierce the veil"" - ""bulletproof love"" | ""as it is"" - ""concrete"" | ""as it is"" - ""dial tones""","""you me at six"" - ""underdog""","""pierce the veil"" - ""the boy who could fly"" | ""fall out boy"" - ""jet pack blues"" | ""you me at six"" - ""time is money (feat. winston mccall)"" | ""pierce the veil"" - ""stained glass eyes and colorful tears"" | ""all time low"" - ""let it roll"" | ""all time low"" - ""thanks to you"" | ""you me at six"" - ""hope for the best"" | ""all time low"" - ""if these sheets were states"" | ""you me at six"" - ""jaws on the floor"" | ""sam smith"" - ""i've told you now""",0
7,"""håkaan <3""",size=medium; target_pop=head,"""patty"" - ""(my name is) luka"" | ""håkan hellström"" - ""den fulaste flickan i världen"" | ""håkan hellström"" - ""det kommer aldrig va över för mig"" | ""håkan hellström"" - ""det är så jag säger det"" | ""håkan hellström"" - ""du kan gå din egen väg""","""håkan hellström"" - ""visa vid vindens ängar""","""håkan hellström"" - ""pistol"" | ""håkan hellström"" - ""street hustle"" | ""håkan hellström"" - ""det dom aldrig nämner"" | ""håkan hellström"" - ""jag har varit i alla städer"" | ""håkan hellström"" - ""bara dårar rusar in"" | ""håkan hellström"" - ""mitt gullbergs kaj paradis"" | ""håkan hellström"" - ""saknade te havs"" | ""håkan hellström"" - ""för sent för edelweiss"" | ""all time low"" - ""something's gotta give"" | ""håkan hellström"" - ""vaggvisa för flyktbenägna""",0
8,"""ngt emo eller""",size=short; target_pop=tail,"""bring me the horizon"" - ""can you feel my heart"" | """" - ""im not okay (i promise) ~ my chemical romance"" | """" - ""just the girl - the click five cover"" | """" - ""low - sleeping with sirens cover"" | """" - ""pierce the veil - -just the way you are- lyric video (punk goes pop 4)""",""""" - ""patty walters - my chemical romance 'teenagers' cover""","""bring me the horizon"" - ""shadow moses"" | ""bring me the horizon"" - ""crooked young"" | ""bring me the horizon"" - ""and the snakes start to sing"" | ""bring me the horizon"" - ""seen it all before"" | ""bring me the horizon"" - ""antivist"" | ""bring me the horizon"" - ""empire (let them sing)"" | ""bring me the horizon"" - ""join the club"" | ""bring me the horizon"" - ""deathbeds"" | ""bring me the horizon"" - ""hospital for souls"" | ""bring me the horizon"" - ""crucify me""",0
9,"""""/""",size=short; target_pop=tail,"""noah and the whale"" - ""i have nothing"" | ""markus krunegård"" - ""korallreven & vintergatan"" | ""slowdive"" - ""so tired - single version"" | ""the perishers"" - ""trouble sleeping""","""vera vinter"" - ""överallt""","""noah and the whale"" - ""instrumental ii"" | ""markus krunegård"" - ""5:e försöket"" | ""ebbot lundberg"" - ""backdrop people"" | ""noah and the whale"" - ""slow glass"" | ""syd matters"" - ""hello sunshine"" | ""markus krunegård"" - ""allt gör mindre ont sen"" | ""noah and the whale"" - ""stranger"" | ""markus krunegård"" - ""barn från rödastan"" | ""noah and the whale"" - ""instrumental i"" | ""markus krunegård"" - ""hjälp""",0
