playlist_index,playlist_name,profile,context_preview,target,recs_top10,hit@10
0,"""Arctic Monkeys - AM""",size=medium; target_pop=head,"""arctic monkeys"" - ""snap out of it"" | ""arctic monkeys"" - ""why'd you only call me when you're high?"" | ""arctic monkeys"" - ""arabella"" | ""arctic monkeys"" - ""do i wanna know?"" | ""arctic monkeys"" - ""fireside""","""arctic monkeys"" - ""r u mine?""","""arctic monkeys"" - ""r u mine?"" | ""arctic monkeys"" - ""piledriver waltz"" | ""arctic monkeys"" - ""reckless serenade"" | ""arctic monkeys"" - ""old yellow bricks"" | ""arctic monkeys"" - ""don't sit down 'cause i've moved your chair"" | ""arctic monkeys"" - ""the hellcat spangled shalalala"" | ""arctic monkeys"" - ""fluorescent adolescent"" | ""arctic monkeys"" - ""505"" | ""arctic monkeys"" - ""i bet you look good on the dancefloor"" | ""arctic monkeys"" - ""crying lightning""",1
1,"""Daft Punk - Random Access Memories""",size=medium; target_pop=head,"""daft punk"" - ""beyond"" | ""daft punk"" - ""contact"" | ""daft punk"" - ""doin' it right"" | ""daft punk"" - ""fragments of time"" | ""daft punk"" - ""get lucky""","""daft punk"" - ""within""","""daft punk"" - ""within"" | ""daft punk"" - ""get lucky - radio edit"" | ""daft punk"" - ""doin'it right"" | ""daft punk"" - ""robot rock"" | ""daft punk"" - ""around the world"" | ""daft punk"" - ""wdpk 837 fm"" | ""robin thicke"" - ""blurred lines"" | ""cut copy"" - ""believers"" | ""tidus"" - ""delancey"" | ""mikko toivonen"" - ""something about us (daft punk cover)""",1
2,"""Essential Cradle of Filth""",size=medium; target_pop=mid,"""cradle of filth"" - ""born in a burial gown"" | ""cradle of filth"" - ""dusk and her embrace"" | ""cradle of filth"" - ""from the cradle to enslave"" | ""cradle of filth"" - ""her ghost in the fog"" | ""cradle of filth"" - ""lovesick for mina""","""cradle of filth"" - ""under pregnant skies she comes alive like miss leviathan""","""cradle of filth"" - ""babalon a.d. (so glad for the madness)"" | ""cradle of filth"" - ""beneath the howling stars"" | ""cradle of filth"" - ""better to reign in hell"" | ""cradle of filth"" - ""cruelty brought thee orchids"" | ""cradle of filth"" - ""cthulhu dawn"" | ""cradle of filth"" - ""doberman pharoah"" | ""cradle of filth"" - ""heaven torn asunder"" | ""cradle of filth"" - ""honey and sulphur"" | ""cradle of filth"" - ""13 autumns and a widow"" | ""cradle of filth"" - ""at the gates of midian""",0
3,"""Feeling retro!""",size=medium; target_pop=mid,"""queen"" - ""another one bites the dust - 2011 remaster"" | ""queen"" - ""bohemian rhapsody - 2011 remaster"" | ""abba"" - ""dancing queen"" | ""queen"" - ""don't stop me now - 2011 remaster"" | ""abba"" - ""gimme! gimme! gimme! (a man after midnight)""","""america"" - ""you can do magic""","""abba"" - ""thank you for the music"" | ""queen"" - ""fat bottomed girls - 2011 remaster"" | ""queen"" - ""bicycle race - 2011 remaster"" | ""abba"" - ""s.o.s."" | ""abba"" - ""fernando"" | ""abba"" - ""voulez-vous"" | ""r.e.m."" - ""everybody hurts"" | ""toto"" - ""waiting for your love"" | ""bee gees"" - ""night fever (remastered album version)"" | ""abba"" - ""one of us""",0
4,"""MTV Unpluggeds""",size=long; target_pop=tail,"""alejandro sanz"" - ""amiga mia"" | ""alejandro sanz"" - ""aprendiz (unplugged)"" | ""ricky martin"" - ""asignatura pendiente - mtv unplugged version"" | ""alejandro sanz"" - ""como te echo de menos - unplugged"" | ""ricky martin"" - ""con tu nombre - mtv unplugged version""","""alejandro sanz"" - ""y sólo se me ocurre amarte""","""alejandro sanz"" - ""el alma al aire"" | ""la ley"" - ""mentira"" | ""alejandro sanz"" - ""cuando nadie me ve"" | ""alejandro sanz"" - ""desde cuando"" | ""alejandro sanz"" - ""a la primera persona"" | ""shakira"" - ""tú - en vivo without intro"" | ""la ley"" - ""delirando"" | ""alejandro sanz"" - ""la fuerza del corazón"" | ""alejandro sanz"" - ""looking for paradise - feat. alicia keys"" | ""shakira"" - ""que me quedes tu""",0
5,"""Spotify Findings!""",size=long; target_pop=head,"""erik satie"" - ""3 gymnopédies: gymnopedie no. 1"" | ""erik satie"" - ""3 gymnopédies: gymnopedie no. 2"" | ""erik satie"" - ""3 gymnopédies: gymnopedie no. 3"" | ""rjd2"" - ""a beautiful mine"" | ""seventh wonder"" - ""alley cat""","""the smashing pumpkins"" - ""zero""","""andy mckee"" - ""drifting"" | ""slash"" - ""crucify the dead - feat. ozzy osbourne"" | ""explosions in the sky"" - ""what do you go home to?"" | ""pendulum"" - ""the island - pt. ii (dusk)"" | ""amaranthe"" - ""director’s cut"" | ""lana del rey"" - ""dark paradise"" | ""pendulum"" - ""encoder"" | ""volbeat"" - ""find that soul"" | ""interpol"" - ""lights"" | ""radiohead"" - ""lucky""",0
6,"""Tagged Tunes""",size=long; target_pop=head,"""counting crows"" - ""american girls"" | ""fear factory"" - ""body hammer"" | ""foo fighters"" - ""bridge burning"" | ""apollo 440"" - ""children of the future"" | ""dexys midnight runners"" - ""come on eileen""","""regina spektor"" - ""you've got time""","""black sabbath"" - ""end of the beginning"" | ""trent reznor and atticus ross"" - ""complication with optimistic outcome"" | ""fear factory"" - ""a therapy for pain"" | ""ludovico einaudi"" - ""two trees"" | ""counting crows"" - ""recovering the satellites"" | ""savages"" - ""no face"" | ""collective soul"" - ""gel"" | ""foo fighters"" - ""back & forth"" | ""pearl jam"" - ""corduroy - mexico city 12/10/05"" | ""garbage"" - ""i think i'm paranoid""",0
7,"""The Girl with the Dragon Tattoo""",size=long; target_pop=mid,"""trent reznor and atticus ross"" - ""a pair of doves"" | ""trent reznor and atticus ross"" - ""a pair of doves"" | ""trent reznor and atticus ross"" - ""a pause for reflection"" | ""trent reznor and atticus ross"" - ""a pause for reflection"" | ""trent reznor and atticus ross"" - ""a thousand details""","""trent reznor and atticus ross"" - ""you're here""","""the young professionals"" - ""with me"" | ""jamie lidell"" - ""what a shame"" | ""bodyrox"" - ""what planet you on - jeremy wheatley radio version"" | ""karmin"" - ""what's in it for me"" | ""carbon airways"" - ""when my eyes get low"" | ""trent reznor and atticus ross"" - ""you're here"" | ""best coast"" - ""when will i change"" | ""the killers"" - ""when you were young - calvin harris remix"" | ""micky green"" - ""white t-shirt"" | ""passion pit"" - ""whole life story""",1
8,"""AMERIE""",size=long; target_pop=tail,"""amerie"" - ""1 thing"" | ""amerie"" - ""1 thing - featuring eve"" | ""amerie"" - ""all i have"" | ""amerie"" - ""all i need"" | ""amerie"" - ""can we go""","""amerie"" - ""you're a star (interlude)""","""dr. buzzard's original savannah band"" - ""cherchez la femme / se si bon"" | ""amerie"" - ""1 thing (feat. eve)"" | ""amerie"" - ""can we go (feat. carl thomas)"" | ""a-ha"" - ""take on me"" | ""little dragon"" - ""ritual union"" | ""arcade fire"" - ""wake up"" | ""john legend"" - ""ordinary people"" | ""bananarama"" - ""cruel summer"" | ""mary jane girls"" - ""all night long"" | ""k-ci & jojo"" - ""all my life""",0
9,"""COACHELLA 2013""",size=long; target_pop=head,"""youth lagoon"" - ""17"" | ""phoenix"" - ""1901"" | ""kids these days"" - ""80 mph and off"" | ""japandroids"" - ""adrenaline nightshift"" | ""bat for lashes"" - ""all your gold""","""local natives"" - ""you & i""","""of monsters and men"" - ""sloom"" | ""james blake"" - ""i mind"" | ""jessie ware"" - ""taking in water"" | ""grizzly bear"" - ""the hunt"" | ""the xx"" - ""tides"" | ""beach house"" - ""irene"" | ""japandroids"" - ""fire's highway"" | ""diiv"" - ""earthboy"" | ""pretty lights"" - ""shining bright despite the plight"" | ""the xx"" - ""fantasy""",0
